x,y
0.5388451226,-0.0313513058
0.5545709077,-0.0304590176
0.5702460326,-0.0295510878
0.5858548565,-0.0286305349
0.6013817756,-0.0277002306
0.6168112388,-0.0267628956
0.6321277642,-0.0258210965
0.6473159549,-0.0248772467
0.6623605157,-0.0239336068
0.6772462684,-0.0229922889
0.6919581687,-0.0220552608
0.7064813217,-0.0211243525
0.7208009975,-0.0202012640
0.7349026478,-0.0192875736
0.7487719203,-0.0183847476
0.7623946750,-0.0174941496
0.7757569987,-0.0166170519
0.7888452206,-0.0157546452
0.8016459264,-0.0149080496
0.8141459734,-0.0140783245
0.8263325044,-0.0132664791
0.8381929622,-0.0124734810
0.8497151031,-0.0117002649
0.8608870108,-0.0109477405
0.8716971098,-0.0102167989
0.8821341785,-0.0095083184
0.8921873618,-0.0088231684
0.9018461847,-0.0081622133
0.9111005636,-0.0075263138
0.9199408192,-0.0069163284
0.9283576879,-0.0063331125
0.9363423334,-0.0057775173
0.9438863581,-0.0052503872
0.9509818135,-0.0047525563
0.9576212108,-0.0042848441
0.9637975306,-0.0038480508
0.9695042327,-0.0034429516
0.9747352649,-0.0030702908
0.9794850714,-0.0027307754
0.9837486006,-0.0024250694
0.9875213126,-0.0021537868
0.9907991855,-0.0019174860
0.9935787212,-0.0017166637
0.9958569512,-0.0015517503
0.9976314401,-0.0014231044
0.9989002904,-0.0013310093
0.9996621441,-0.0012756696
0.9999161860,-0.0012572093
